Species,1,2,3,4,5, 
Canada Goose,0,0,3,0,0,Breeder
American Black Duck,0,0,0,0,1,Breeder
Ring-necked Pheasant,0,1,0,0,0,Breeder
Mourning Dove,0,2,0,0,0,Breeder
Common Loon,0,0,0,0,1,Breeder
Great Blue Heron,0,0,1,0,0,Breeder
Alder Flycatcher,1,0,1,0,0,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,1,0,1,0,0,Breeder
American Crow,1,1,2,1,3,Breeder
Common Raven,0,0,1,0,0,Breeder
Black-capped Chickadee,1,1,1,0,0,Breeder
Red-breasted Nuthatch,0,0,1,0,0,Breeder
Hermit Thrush,0,0,0,0,1,Breeder
American Robin,1,2,1,2,0,Breeder
Purple Finch,0,0,1,0,0,Breeder
Chipping Sparrow,0,1,0,0,0,Breeder
White-throated Sparrow,0,0,0,0,1,Breeder
Song Sparrow,2,0,0,2,0,Breeder
Bobolink,0,1,0,0,0,Breeder
Red-winged Blackbird,1,0,0,0,0,Breeder
Common Grackle,0,1,0,3,0,Breeder
American Redstart,0,1,0,0,0,Breeder
Yellow Warbler,0,1,0,0,0,Breeder
Black-throated Blue Warbler,0,0,1,1,0,Breeder
(Myrtle Warbler) Yellow-rumped Warbler,0,0,0,0,1,Breeder
Number of Vehicles,1,0,0,0,1
Excessive Noise,,,,,
Species,6,7,8,9,10, 
Blue-winged Teal,0,0,0,2,0,Breeder
Mallard,0,0,0,5,2,Breeder
American Black Duck,0,0,0,5,0,Breeder
Ring-necked Pheasant,0,0,1,0,0,Breeder
Pied-billed Grebe,1,0,0,0,0,Breeder
Mourning Dove,1,0,0,0,0,Breeder
Alder Flycatcher,0,0,0,2,3,Breeder
Philadelphia Vireo,1,0,0,0,0,Breeder
American Crow,4,0,1,0,5,Breeder
Black-capped Chickadee,0,0,0,1,0,Breeder
Bank Swallow,0,0,0,1,0,Breeder
Tree Swallow,0,7,0,0,0,Breeder
Purple Martin,0,1,0,0,0,Breeder
Barn Swallow,0,6,0,0,0,Breeder
Cedar Waxwing,1,0,0,0,0,Breeder
Gray Catbird,1,0,0,0,0,Breeder
European Starling,2,0,0,0,0,Breeder
American Robin,1,0,1,0,0,Breeder
American Goldfinch,0,2,0,1,1,Breeder
Savannah Sparrow,0,1,0,0,0,Breeder
Song Sparrow,1,0,1,0,0,Breeder
Swamp Sparrow,0,0,0,0,1,Breeder
Bobolink,0,2,0,0,2,Breeder
Red-winged Blackbird,0,0,1,5,0,Breeder
Common Grackle,2,0,2,5,1,Breeder
Common Yellowthroat,1,0,0,0,1,Breeder
Yellow Warbler,0,0,1,1,1,Breeder
Number of Vehicles,1,1,1,1,1
Excessive Noise,,,,,
Species,11,12,13,14,15, 
American Wigeon,2,0,0,0,0,Breeder
Ring-necked Pheasant,1,1,0,0,0,Breeder
Mourning Dove,0,0,0,2,1,Breeder
Rock Pigeon,0,0,0,2,0,Breeder
American Goshawk,0,0,1,0,0,Breeder
Eastern Kingbird,0,1,0,0,0,Breeder
Alder Flycatcher,1,1,0,1,0,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,0,0,0,1,1,Breeder
American Crow,3,3,0,0,2,Breeder
Common Raven,0,0,0,1,0,Breeder
Barn Swallow,0,0,1,0,0,Breeder
European Starling,0,0,1,8,0,Breeder
American Robin,1,0,0,5,1,Breeder
American Goldfinch,4,0,2,0,0,Breeder
Savannah Sparrow,0,1,0,0,0,Breeder
Song Sparrow,2,1,1,1,1,Breeder
Bobolink,0,1,1,0,0,Breeder
Common Grackle,0,0,1,0,0,Breeder
Common Yellowthroat,1,0,1,0,0,Breeder
American Redstart,0,0,0,0,1,Breeder
Northern Parula,0,0,1,0,0,Breeder
Yellow Warbler,1,1,1,0,1,Breeder
Number of Vehicles,1,3,1,1,6
Excessive Noise,,,,,
Species,16,17,18,19,20, 
American Black Duck,0,0,1,0,0,Breeder
Ring-necked Duck,0,0,1,0,0,Breeder
Ring-necked Pheasant,0,1,0,0,0,Breeder
Mourning Dove,0,1,1,1,0,Breeder
Rock Pigeon,0,0,0,0,5,Breeder
Ruby-throated Hummingbird,0,1,0,0,0,Breeder
Bald Eagle,0,0,0,1,0,Breeder
Belted Kingfisher,0,1,0,0,0,Breeder
Hairy Woodpecker,0,0,0,1,0,Breeder
(Yellow-shafted Flicker) Northern Flicker,0,0,0,0,1,Breeder
Alder Flycatcher,0,1,1,1,1,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,1,0,0,0,0,Breeder
Blue Jay,0,0,0,0,1,Breeder
American Crow,2,2,1,2,0,Breeder
Common Raven,0,0,0,1,0,Breeder
Black-capped Chickadee,1,0,0,0,1,Breeder
Tree Swallow,0,1,2,0,0,Breeder
Cedar Waxwing,0,1,0,0,0,Breeder
Red-breasted Nuthatch,1,0,0,0,0,Breeder
European Starling,0,3,0,0,0,Breeder
Hermit Thrush,0,0,0,0,1,Breeder
American Robin,1,2,1,1,0,Breeder
Purple Finch,0,0,0,0,1,Breeder
American Goldfinch,0,1,1,0,0,Breeder
White-throated Sparrow,0,0,1,0,0,Breeder
Song Sparrow,0,1,1,1,0,Breeder
Red-winged Blackbird,0,0,5,0,0,Breeder
Common Grackle,0,1,3,1,0,Breeder
Ovenbird,1,0,0,0,0,Breeder
Cape May Warbler,1,0,0,0,0,Breeder
Northern Parula,2,1,0,0,0,Breeder
Blackburnian Warbler,1,0,0,0,0,Breeder
Yellow Warbler,0,1,0,0,0,Breeder
Chestnut-sided Warbler,0,0,0,1,0,Breeder
Number of Vehicles,3,0,0,0,0
Excessive Noise,,,,,
Species,21,22,23,24,25, 
Ring-necked Pheasant,1,1,0,0,0,Breeder
Mourning Dove,1,0,0,0,0,Breeder
American Herring Gull,0,0,0,1,0,Breeder
Common Loon,2,0,1,0,0,Breeder
Hairy Woodpecker,0,0,0,0,1,Breeder
Blue-headed Vireo,0,1,1,0,1,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Canada Jay,0,0,0,0,1,Breeder
Common Raven,0,0,0,0,1,Breeder
Black-capped Chickadee,1,0,0,0,0,Breeder
Red-breasted Nuthatch,0,0,0,0,1,Breeder
Swainson's Thrush,0,0,0,0,1,Breeder
American Robin,2,0,0,0,1,Breeder
American Goldfinch,0,0,0,1,0,Breeder
Song Sparrow,1,0,0,0,0,Breeder
Common Grackle,1,0,0,0,0,Breeder
Ovenbird,1,1,2,0,1,Breeder
Common Yellowthroat,2,0,0,1,0,Breeder
Cape May Warbler,0,0,1,0,0,Breeder
Northern Parula,1,2,1,2,1,Breeder
Magnolia Warbler,0,1,0,0,0,Breeder
Pine Warbler,0,0,0,1,0,Breeder
Black-throated Green Warbler,0,0,0,1,0,Breeder
Number of Vehicles,0,0,0,0,0
Excessive Noise,,,,,
Species,26,27,28,29,30, 
Gadwall,0,0,0,0,2,Breeder
Ring-necked Duck,0,0,0,0,2,Breeder
Ring-necked Pheasant,1,0,1,2,0,Breeder
American Herring Gull,0,0,0,1,0,Breeder
Downy Woodpecker,0,0,0,0,1,Breeder
Pileated Woodpecker,1,0,0,0,0,Breeder
Alder Flycatcher,1,0,0,1,1,Breeder
Blue-headed Vireo,0,0,1,0,0,Breeder
Red-eyed Vireo,0,1,0,0,0,Breeder
Blue Jay,1,0,0,0,0,Breeder
American Crow,0,0,0,5,0,Breeder
Cedar Waxwing,2,0,0,0,0,Breeder
European Starling,0,0,0,0,1,Breeder
American Robin,1,0,0,0,1,Breeder
American Goldfinch,0,0,0,2,0,Breeder
Song Sparrow,0,0,0,2,1,Breeder
