Species,1,2,3,4,5, 
Canada Goose,0,0,0,0,1,Breeder
Ring-necked Pheasant,1,1,0,0,0,Breeder
Philadelphia Vireo,0,0,0,0,1,Breeder
Red-eyed Vireo,0,0,1,0,0,Breeder
Blue Jay,0,0,0,0,1,Breeder
American Crow,2,2,0,2,0,Breeder
Black-capped Chickadee,1,1,0,0,1,Breeder
Red-breasted Nuthatch,0,0,0,0,1,Breeder
American Robin,1,1,0,3,0,Breeder
Purple Finch,0,0,1,0,0,Breeder
American Goldfinch,1,0,0,0,0,Breeder
Chipping Sparrow,0,2,0,0,0,Breeder
White-throated Sparrow,0,1,1,0,1,Breeder
Song Sparrow,2,1,0,1,0,Breeder
Black-and-white Warbler,0,0,2,0,0,Breeder
Northern Parula,0,0,2,0,1,Breeder
Magnolia Warbler,0,0,0,0,1,Breeder
Yellow Warbler,1,1,0,0,0,Breeder
Number of Vehicles,1,1,1,1,0
Excessive Noise,,,,,
Species,6,7,8,9,10, 
Canada Goose,0,0,6,0,0,Breeder
Northern Shoveler,0,0,0,7,0,Breeder
Mallard,3,0,0,12,2,Breeder
American Black Duck,0,0,0,0,2,Breeder
Ring-necked Pheasant,0,0,1,1,0,Breeder
Rock Pigeon,0,0,0,0,4,Breeder
Alder Flycatcher,2,0,0,1,0,Breeder
Red-eyed Vireo,0,1,0,0,0,Breeder
American Crow,5,1,2,0,0,Breeder
Common Raven,0,0,0,1,0,Breeder
Tree Swallow,0,1,0,0,0,Breeder
Cedar Waxwing,0,0,0,0,3,Breeder
American Robin,2,1,0,0,1,Breeder
American Goldfinch,0,0,0,0,1,Breeder
Nelson's Sparrow,0,0,0,0,2,Breeder
Savannah Sparrow,0,1,2,0,0,Breeder
Song Sparrow,3,0,1,1,1,Breeder
Bobolink,0,0,2,0,1,Breeder
Red-winged Blackbird,0,0,0,10,1,Breeder
Yellow Warbler,0,0,0,0,1,Breeder
Number of Vehicles,0,0,1,1,2
Excessive Noise,,,,,
Species,11,12,13,14,15, 
Ring-necked Pheasant,0,0,1,1,1,Breeder
Belted Kingfisher,0,0,0,1,0,Breeder
Alder Flycatcher,1,0,0,0,0,Breeder
Red-eyed Vireo,0,0,1,1,0,Breeder
Blue Jay,0,0,0,0,3,Breeder
American Crow,0,0,1,2,3,Breeder
Black-capped Chickadee,0,0,0,1,0,Breeder
Tree Swallow,0,0,1,2,0,Breeder
Cedar Waxwing,0,1,0,0,0,Breeder
Red-breasted Nuthatch,0,0,0,1,0,Breeder
European Starling,1,0,2,0,1,Breeder
American Robin,0,0,0,1,2,Breeder
American Goldfinch,1,0,0,0,2,Breeder
Chipping Sparrow,0,0,0,1,0,Breeder
Savannah Sparrow,1,0,0,0,0,Breeder
Song Sparrow,3,2,1,0,1,Breeder
Bobolink,2,3,1,0,0,Breeder
Ovenbird,0,0,0,0,1,Breeder
Common Yellowthroat,1,0,0,0,0,Breeder
American Redstart,0,0,1,0,0,Breeder
Northern Parula,0,0,1,0,0,Breeder
Yellow Warbler,0,1,1,0,0,Breeder
Chestnut-sided Warbler,0,0,0,1,1,Breeder
Number of Vehicles,0,1,1,3,1
Excessive Noise,,,,,
Species,16,17,18,19,20, 
American Black Duck,0,0,1,0,0,Breeder
Ring-necked Pheasant,0,1,0,1,0,Breeder
Mourning Dove,0,2,1,0,2,Breeder
Downy Woodpecker,1,0,0,0,0,Breeder
(Yellow-shafted Flicker) Northern Flicker,0,0,1,0,0,Breeder
Alder Flycatcher,1,0,0,2,0,Breeder
Red-eyed Vireo,1,1,0,1,1,Breeder
American Crow,1,2,0,1,3,Breeder
Tree Swallow,0,2,0,0,0,Breeder
Cedar Waxwing,1,0,3,1,0,Breeder
European Starling,0,1,0,1,0,Breeder
American Robin,1,1,0,1,0,Breeder
American Goldfinch,0,0,0,1,1,Breeder
Chipping Sparrow,0,0,1,1,0,Breeder
White-throated Sparrow,1,0,0,0,0,Breeder
Song Sparrow,0,1,0,1,0,Breeder
Red-winged Blackbird,0,1,5,0,0,Breeder
