Species,1,2,3,4,5, 
Ring-necked Pheasant,1,1,1,0,0,Breeder
Alder Flycatcher,0,0,0,1,0,Breeder
Red-eyed Vireo,0,1,1,1,1,Breeder
American Crow,0,0,2,2,1,Breeder
Black-capped Chickadee,0,1,2,0,0,Breeder
Tree Swallow,0,1,0,0,0,Breeder
Golden-crowned Kinglet,0,0,1,0,0,Breeder
Red-breasted Nuthatch,0,0,1,0,1,Breeder
European Starling,0,1,0,1,0,Breeder
Hermit Thrush,0,0,0,1,0,Breeder
American Robin,2,1,0,1,1,Breeder
Purple Finch,2,0,0,0,0,Breeder
American Goldfinch,0,3,0,0,0,Breeder
White-throated Sparrow,0,0,0,1,1,Breeder
Song Sparrow,3,2,0,2,0,Breeder
Common Grackle,1,0,0,0,0,Breeder
Common Yellowthroat,0,1,0,0,0,Breeder
American Redstart,0,1,3,0,0,Breeder
Northern Parula,0,0,0,3,1,Breeder
Blackburnian Warbler,0,0,0,0,2,Breeder
Yellow Warbler,1,0,0,0,0,Breeder
Black-throated Green Warbler,0,0,1,0,0,Breeder
Number of Vehicles,1,1,0,0,0
Excessive Noise,,,,,
Species,6,7,8,9,10, 
Ring-necked Pheasant,0,0,0,1,0,Breeder
Mourning Dove,1,0,0,0,1,Breeder
Virginia Rail,0,0,0,1,0,Breeder
American Herring Gull,0,1,0,0,0,Breeder
Bald Eagle,0,0,0,0,1,Breeder
American Kestrel,0,0,0,0,1,Breeder
Alder Flycatcher,0,0,0,2,2,Breeder
Red-eyed Vireo,0,0,0,1,0,Breeder
American Crow,3,3,3,0,1,Breeder
Common Raven,0,1,0,1,0,Breeder
Tree Swallow,0,3,0,0,0,Breeder
Cedar Waxwing,0,1,0,0,0,Breeder
American Robin,1,1,1,2,0,Breeder
American Goldfinch,0,0,1,0,1,Breeder
Chipping Sparrow,1,0,0,0,0,Breeder
Savannah Sparrow,0,1,2,0,0,Breeder
Song Sparrow,2,1,1,0,1,Breeder
Swamp Sparrow,0,0,0,0,1,Breeder
Bobolink,0,1,0,0,2,Breeder
Red-winged Blackbird,0,0,1,2,0,Breeder
Common Grackle,2,1,0,0,0,Breeder
Common Yellowthroat,1,0,1,0,0,Breeder
Yellow Warbler,2,1,1,1,1,Breeder
Number of Vehicles,1,0,1,0,1
Excessive Noise,,,,,
Species,11,12,13,14,15, 
Bald Eagle,1,0,0,0,0,Breeder
Belted Kingfisher,1,0,0,0,0,Breeder
(Yellow-shafted Flicker) Northern Flicker,0,0,0,1,0,Breeder
Pileated Woodpecker,0,0,0,0,1,Breeder
Eastern Kingbird,1,0,0,0,0,Breeder
Red-eyed Vireo,0,2,0,0,1,Breeder
Blue Jay,0,0,0,1,0,Breeder
American Crow,10,1,0,3,0,Breeder
Black-capped Chickadee,0,0,0,1,1,Breeder
Cedar Waxwing,0,0,0,1,0,Breeder
European Starling,0,1,2,0,0,Breeder
American Robin,0,0,0,0,1,Breeder
American Goldfinch,1,0,1,0,0,Breeder
Chipping Sparrow,0,1,1,0,0,Breeder
Nelson's Sparrow,1,0,0,0,0,Breeder
Savannah Sparrow,0,1,0,0,0,Breeder
Song Sparrow,1,1,2,2,1,Breeder
Bobolink,0,1,0,0,0,Breeder
Ovenbird,0,0,0,0,1,Breeder
Black-and-white Warbler,0,0,0,0,2,Breeder
Common Yellowthroat,2,1,0,1,0,Breeder
Northern Parula,0,0,0,0,1,Breeder
Blackburnian Warbler,0,0,0,0,1,Breeder
Chestnut-sided Warbler,0,0,0,1,0,Breeder
Black-throated Green Warbler,0,0,0,0,1,Breeder
Number of Vehicles,1,3,2,0,0
Excessive Noise,,,,,
Species,16,17,18,19,20, 
Ring-necked Duck,0,0,1,0,0,Breeder
Mourning Dove,0,0,1,0,0,Breeder
Ruby-throated Hummingbird,0,0,0,2,0,Breeder
Downy Woodpecker,0,1,0,0,0,Breeder
Alder Flycatcher,0,1,0,0,0,Breeder
American Crow,6,0,0,12,0,Breeder
Common Raven,1,0,0,0,0,Breeder
Bank Swallow,0,0,2,0,0,Breeder
Cedar Waxwing,0,3,0,2,0,Breeder
Red-breasted Nuthatch,0,1,0,0,1,Breeder
Swainson's Thrush,0,1,0,0,0,Breeder
American Robin,1,1,1,0,2,Breeder
White-throated Sparrow,1,0,0,0,0,Breeder
Song Sparrow,0,2,1,4,1,Breeder
Red-winged Blackbird,0,0,10,0,0,Breeder
Common Grackle,0,0,1,0,0,Breeder
Ovenbird,2,1,0,0,2,Breeder
Common Yellowthroat,0,0,0,1,1,Breeder
American Redstart,0,2,0,1,0,Breeder
Northern Parula,2,0,0,0,1,Breeder
Blackburnian Warbler,0,0,0,0,1,Breeder
Yellow Warbler,0,0,1,0,0,Breeder
Chestnut-sided Warbler,1,0,0,1,0,Breeder
Number of Vehicles,0,1,0,0,1
